Commodity,Forecast_Average_Price,Forecast_Min_Price,Forecast_Max_Price,Forecast_First_Price,Forecast_Last_Price,Forecast_Change_pct,Forecast_Range_pct,Forecast_Days,Average_Crisis_Score,High_Critical_Events,Forecast_Volatility_Score,Farmer_Intelligence_Score,Final_Risk_Level,District,Cluster,District_Risk_Score,District_Risk_Level,Recommendation,Recommended_Action
Tomato,3494.88,3194.56,3634.88,3343.23,3560.37,6.49,13.78,30,10.38,43,23.62,27.78,Moderate,Pune,0,9.04,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3498.64,3196.11,3622.26,3344.36,3547.83,6.08,13.33,30,10.38,43,22.37,27.4,Moderate,Sangli,0,5.31,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3501.6,3193.79,3629.0,3343.16,3547.73,6.12,13.63,30,10.38,43,23.23,27.66,Moderate,Satara,0,4.74,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3554.98,3238.73,3672.63,3378.28,3566.21,5.56,13.4,30,10.38,43,22.15,27.33,Moderate,Solapur,1,8.59,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Wheat,3652.33,3249.49,3991.15,3488.8,3927.77,12.58,22.82,30,13.5,78,37.5,46.65,Moderate,Ahmednagar,0,13.99,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3638.82,3182.86,3926.12,3486.0,3892.12,11.65,23.35,30,13.5,78,37.27,46.58,Moderate,Chhatrapati Sambhajinagar,0,4.72,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3650.59,3249.61,3990.75,3488.93,3927.89,12.58,22.81,30,13.5,78,37.62,46.69,Moderate,Jalgaon,1,5.54,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3655.07,3246.37,3991.57,3486.44,3928.71,12.69,22.95,30,13.5,78,38.94,47.08,Moderate,Kolhapur,0,5.14,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3751.77,3259.58,4105.98,3495.78,4052.17,15.92,25.97,30,13.5,78,44.84,48.85,Moderate,Nagpur,1,7.46,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3652.33,3249.49,3991.15,3488.8,3927.77,12.58,22.82,30,13.5,78,37.5,46.65,Moderate,Nashik,0,8.41,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3650.47,3249.49,3990.63,3488.8,3927.77,12.58,22.81,30,13.5,78,37.62,46.69,Moderate,Pune,0,9.04,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3646.01,3250.5,3916.24,3489.92,3849.51,10.3,20.48,30,13.5,78,34.74,45.82,Moderate,Sangli,0,5.31,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3644.94,3248.55,3916.86,3488.73,3849.41,10.34,20.57,30,13.5,78,34.89,45.87,Moderate,Satara,0,4.74,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3802.04,3297.9,4229.27,3517.39,4139.28,17.68,28.24,30,13.5,78,47.58,49.68,Moderate,Solapur,1,8.59,Low,Positive price trend expected over the forecast period - consider holding part of the stock if storage is available.,CONSIDER HOLDING
